order_id,customer_id,order_date,delivery_date,delivery_days,region,product_category,payment_method,quantity,unit_price,discount,sales_amount,churn_status,rating,is_returned
ORD1096,CUST86,2023-12-26,2023-12-28,2,South,Home Decor,Net Banking,3,3917.53,0.05,11164.96,Retained,4,No
ORD1097,CUST348,2023-07-13,2023-07-14,1,West,Sports,Debit Card,1,845.28,0.29,600.15,Retained,5,No
ORD1098,CUST422,2023-02-24,2023-03-01,5,South,Home Decor,Credit Card,3,2445.06,0.05,6968.42,Retained,2,No
ORD1099,CUST481,2023-08-24,2023-08-30,6,North,Beauty,Credit Card,2,3108.3,0.15,5284.11,Retained,5,No
ORD1100,CUST32,2023-09-28,2023-10-07,9,East,Clothing,UPI,4,2256.09,0.11,8031.68,Retained,5,No
ORD1101,CUST310,2023-04-27,2023-05-02,5,South,Electronics,Credit Card,3,330.11,0.19,802.17,Retained,1,No
ORD1102,CUST24,2023-10-21,2023-10-27,6,South,Sports,Net Banking,3,3960.81,0.04,11407.13,Retained,2,No
ORD1103,CUST32,2023-10-06,2023-10-12,6,West,Sports,COD,1,250.46,0.13,217.9,Retained,1,No
ORD1104,CUST89,2023-11-17,2023-11-20,3,South,Home Decor,COD,2,3857.07,0.08,7097.01,Retained,3,No
ORD1105,CUST87,2023-02-25,2023-03-01,4,South,Sports,COD,1,4487.86,0.27,3276.14,Retained,4,No
ORD1106,CUST103,2023-10-03,2023-10-04,1,South,Beauty,Debit Card,2,2277.63,0.01,4509.71,Retained,4,No
ORD1107,CUST380,2023-09-19,2023-09-23,4,West,Beauty,Credit Card,1,2770.6,0.27,2022.54,Retained,3,No
ORD1108,CUST296,2023-11-25,2023-11-26,1,South,Home Decor,Net Banking,3,2489.52,0.25,5601.42,Retained,5,No
ORD1109,CUST220,2023-12-31,2024-01-05,5,East,Beauty,Debit Card,1,2068.2,0.09,1882.06,Retained,4,No
ORD1110,CUST323,2023-08-21,2023-08-29,8,West,Clothing,UPI,4,4459.64,0.24,13557.31,Retained,1,No
ORD1111,CUST4,2023-01-02,2023-01-10,8,East,Home Decor,Net Banking,2,4490.88,0.01,8891.94,Retained,3,No
ORD1112,CUST499,2023-07-02,2023-07-07,5,West,Clothing,Net Banking,2,1811.92,0.29,2572.93,Retained,4,No
ORD1113,CUST121,2023-03-13,2023-03-15,2,South,Electronics,Net Banking,3,3152.33,0.16,7943.87,Retained,4,No
ORD1114,CUST82,2023-11-03,2023-11-09,6,East,Clothing,COD,2,4649.16,0.09,8461.47,Retained,3,No
ORD1115,CUST359,2023-10-16,2023-10-17,1,West,Electronics,Net Banking,4,4817.88,0.11,17151.65,Retained,2,No
ORD1116,CUST70,2023-08-26,2023-09-02,7,North,Electronics,Credit Card,1,2643.0,0.02,2590.14,Retained,5,No
ORD1117,CUST63,2023-02-28,2023-03-04,4,South,Clothing,Net Banking,3,2373.56,0.3,4984.48,Retained,5,No
ORD1118,CUST228,2023-08-13,2023-08-18,5,West,Home Decor,COD,4,1537.73,0.01,6089.41,Retained,3,No
ORD1119,CUST264,2023-08-23,2023-08-29,6,North,Beauty,Net Banking,2,4802.58,0.2,7684.13,Retained,4,No
ORD1120,CUST403,2023-12-14,2023-12-15,1,West,Beauty,UPI,2,885.51,0.13,1540.79,Retained,4,No
ORD1121,CUST91,2023-04-16,2023-04-25,9,North,Electronics,UPI,4,2983.18,0.28,8591.56,Retained,4,No
ORD1122,CUST148,2023-12-08,2023-12-12,4,South,Electronics,COD,1,1556.24,0.07,1447.3,Retained,4,Yes
ORD1123,CUST151,2023-05-16,2023-05-24,8,East,Home Decor,Credit Card,1,1539.24,0.16,1292.96,Retained,5,No
ORD1124,CUST290,2023-01-29,2023-02-03,5,North,Sports,Credit Card,3,2143.85,0.14,5531.13,Churned,4,No
ORD1125,CUST110,2023-09-04,2023-09-12,8,West,Clothing,Debit Card,2,4994.21,0.21,7890.85,Retained,4,No
ORD1126,CUST294,2023-02-05,2023-02-06,1,South,Electronics,COD,4,463.84,0.02,1818.25,Retained,4,No
ORD1127,CUST37,2023-01-01,2023-01-09,8,North,Beauty,Net Banking,1,2977.0,0.06,2798.38,Retained,5,No
ORD1128,CUST257,2023-06-05,2023-06-09,4,West,Home Decor,COD,3,596.35,0.06,1681.71,Retained,5,No
ORD1129,CUST324,2023-01-21,2023-01-23,2,West,Clothing,Debit Card,2,941.7,0.22,1469.05,Retained,1,No
ORD1130,CUST135,2023-01-24,2023-01-30,6,West,Home Decor,COD,2,2309.9,0.06,4342.61,Retained,3,No
ORD1131,CUST286,2023-11-24,2023-11-26,2,North,Clothing,COD,3,2650.21,0.17,6599.02,Retained,4,No
ORD1132,CUST307,2023-07-31,2023-08-05,5,North,Clothing,Debit Card,3,1442.2,0.06,4067.0,Retained,3,No
ORD1133,CUST203,2023-06-24,2023-06-26,2,North,Electronics,Credit Card,1,1718.99,0.26,1272.05,Retained,4,No
ORD1134,CUST4,2023-07-07,2023-07-10,3,East,Home Decor,Net Banking,4,617.44,0.28,1778.23,Retained,5,Yes
ORD1135,CUST405,2023-03-22,2023-03-28,6,North,Home Decor,Debit Card,2,1655.45,0.16,2781.16,Retained,4,No
ORD1136,CUST495,2023-05-07,2023-05-08,1,North,Beauty,UPI,4,4839.48,0.11,17228.55,Retained,5,No
ORD1137,CUST471,2023-08-24,2023-08-30,6,North,Beauty,Credit Card,2,4734.6,0.07,8806.36,Retained,3,No
ORD1138,CUST266,2023-09-17,2023-09-20,3,East,Electronics,UPI,2,1807.42,0.01,3578.69,Retained,5,No
ORD1139,CUST123,2023-04-25,2023-05-02,7,North,Electronics,Credit Card,4,2940.1,0.08,10819.57,Retained,5,No
ORD1140,CUST187,2023-06-18,2023-06-20,2,West,Sports,Net Banking,3,4566.06,0.2,10958.54,Retained,4,No
ORD1141,CUST94,2023-02-15,2023-02-21,6,North,Beauty,Net Banking,1,229.68,0.16,192.93,Retained,4,No
ORD1142,CUST124,2023-06-13,2023-06-21,8,West,Clothing,COD,2,4091.28,0.28,5891.44,Retained,2,No
ORD1143,CUST33,2023-08-17,2023-08-18,1,West,Home Decor,UPI,3,4752.17,0.12,12545.73,Retained,5,No
ORD1144,CUST353,2023-08-10,2023-08-19,9,West,Electronics,Credit Card,2,638.36,0.21,1008.61,Retained,4,No
ORD1145,CUST495,2023-10-19,2023-10-24,5,East,Home Decor,Net Banking,1,974.95,0.15,828.71,Retained,3,No
ORD1146,CUST58,2023-11-16,2023-11-21,5,East,Home Decor,Debit Card,2,4811.58,0.15,8179.69,Retained,4,No
ORD1147,CUST286,2023-06-05,2023-06-10,5,East,Sports,Net Banking,1,2780.19,0.08,2557.77,Retained,4,No
ORD1148,CUST393,2023-06-05,2023-06-11,6,North,Beauty,Debit Card,1,268.14,0.14,230.6,Retained,3,No
ORD1149,CUST363,2023-11-11,2023-11-13,2,West,Electronics,Credit Card,2,1436.63,0.14,2471.0,Retained,1,Yes
ORD1150,CUST44,2023-02-26,2023-03-04,6,East,Home Decor,Net Banking,2,2359.73,0.21,3728.37,Retained,4,No
ORD1151,CUST483,2023-09-02,2023-09-06,4,East,Electronics,Net Banking,1,3525.96,0.28,2538.69,Retained,4,No
ORD1152,CUST298,2023-08-16,2023-08-24,8,North,Clothing,Credit Card,3,3719.17,0.1,10041.76,Retained,5,No
ORD1153,CUST380,2023-12-24,2024-01-02,9,East,Sports,Net Banking,4,4978.02,0.01,19712.96,Retained,5,No
ORD1154,CUST136,2023-07-12,2023-07-21,9,North,Clothing,Debit Card,1,1580.05,0.15,1343.04,Retained,4,No
ORD1155,CUST114,2023-12-21,2023-12-29,8,South,Electronics,Net Banking,2,2783.46,0.16,4676.21,Retained,5,No
ORD1156,CUST89,2023-08-06,2023-08-09,3,East,Electronics,UPI,2,2759.95,0.05,5243.9,Retained,4,No
ORD1157,CUST220,2023-12-12,2023-12-16,4,South,Beauty,COD,3,2147.1,0.23,4959.8,Retained,4,No
ORD1158,CUST456,2023-08-21,2023-08-22,1,North,Home Decor,Debit Card,4,1011.98,0.3,2833.54,Retained,3,Yes
ORD1159,CUST459,2023-09-12,2023-09-21,9,West,Home Decor,UPI,1,4891.79,0.28,3522.09,Retained,4,Yes
ORD1160,CUST499,2023-01-04,2023-01-09,5,East,Clothing,Credit Card,1,4295.92,0.06,4038.16,Retained,4,No
ORD1161,CUST66,2023-04-23,2023-04-29,6,North,Sports,Debit Card,4,2592.0,0.26,7672.32,Retained,1,No
ORD1162,CUST479,2023-12-24,2023-12-27,3,West,Home Decor,COD,1,3095.58,0.21,2445.51,Retained,4,Yes
ORD1163,CUST331,2023-05-09,2023-05-17,8,West,Beauty,COD,4,1290.85,0.14,4440.52,Retained,5,No
ORD1164,CUST294,2023-07-02,2023-07-09,7,South,Clothing,Credit Card,2,2810.18,0.16,4721.1,Retained,4,No
ORD1165,CUST3,2023-06-15,2023-06-16,1,North,Clothing,Credit Card,4,3535.86,0.25,10607.58,Retained,4,No
ORD1166,CUST208,2023-10-12,2023-10-17,5,West,Beauty,Debit Card,1,2672.8,0.14,2298.61,Retained,5,No
ORD1167,CUST381,2023-05-10,2023-05-19,9,East,Sports,Net Banking,4,4953.37,0.11,17634.0,Retained,5,No
ORD1168,CUST94,2023-04-10,2023-04-16,6,East,Beauty,Credit Card,3,3134.44,0.15,7992.82,Retained,3,No
ORD1169,CUST90,2023-03-10,2023-03-18,8,South,Sports,Net Banking,2,1980.67,0.17,3287.91,Retained,3,No
ORD1170,CUST167,2023-04-11,2023-04-12,1,West,Beauty,UPI,2,3906.33,0.06,7343.9,Retained,4,No
ORD1171,CUST228,2023-01-27,2023-02-03,7,North,Beauty,COD,4,1018.22,0.27,2973.2,Retained,4,No
ORD1172,CUST463,2023-05-06,2023-05-09,3,East,Electronics,Net Banking,1,2045.68,0.2,1636.54,Retained,3,No
ORD1173,CUST225,2023-09-05,2023-09-14,9,West,Clothing,COD,3,1865.4,0.19,4532.92,Retained,3,No
ORD1174,CUST491,2023-01-19,2023-01-25,6,West,Beauty,Net Banking,2,2272.67,0.03,4408.98,Retained,5,Yes
ORD1175,CUST105,2023-05-08,2023-05-13,5,South,Beauty,UPI,2,3952.54,0.18,6482.17,Retained,4,No
ORD1176,CUST53,2023-05-26,2023-06-03,8,East,Home Decor,Credit Card,1,2524.03,0.04,2423.07,Retained,5,Yes
ORD1177,CUST431,2023-03-21,2023-03-29,8,East,Clothing,UPI,1,4011.27,0.02,3931.04,Retained,5,No
ORD1178,CUST375,2023-11-14,2023-11-17,3,North,Home Decor,Credit Card,3,2967.15,0.16,7477.22,Retained,5,No
ORD1179,CUST430,2023-09-17,2023-09-19,2,East,Clothing,Credit Card,4,1841.93,0.12,6483.59,Retained,3,No
ORD1180,CUST390,2023-01-20,2023-01-22,2,North,Home Decor,COD,1,4087.9,0.18,3352.08,Retained,5,Yes
ORD1181,CUST346,2023-03-11,2023-03-16,5,East,Beauty,UPI,4,1343.79,0.03,5213.91,Retained,1,No
ORD1182,CUST258,2023-05-21,2023-05-28,7,South,Beauty,Net Banking,3,1277.04,0.13,3333.07,Retained,4,No
ORD1183,CUST342,2023-08-01,2023-08-09,8,East,Electronics,UPI,4,2621.61,0.05,9962.12,Retained,4,No
ORD1184,CUST130,2023-03-20,2023-03-28,8,North,Home Decor,COD,2,1452.08,0.3,2032.91,Retained,3,No
ORD1185,CUST425,2023-08-05,2023-08-13,8,North,Sports,Credit Card,4,243.62,0.17,808.82,Retained,5,No
ORD1186,CUST377,2023-08-13,2023-08-16,3,South,Electronics,COD,3,3311.83,0.21,7849.04,Retained,5,No
ORD1187,CUST191,2023-01-02,2023-01-04,2,East,Home Decor,Debit Card,3,2653.25,0.1,7163.78,Retained,1,No
ORD1188,CUST367,2023-06-18,2023-06-22,4,East,Home Decor,Debit Card,3,2338.49,0.03,6805.01,Churned,4,Yes
ORD1189,CUST71,2023-01-12,2023-01-13,1,South,Electronics,Net Banking,4,4841.45,0.29,13749.72,Retained,4,Yes
ORD1190,CUST146,2023-11-16,2023-11-19,3,East,Beauty,COD,2,2941.76,0.09,5354.0,Retained,4,No
ORD1191,CUST229,2023-11-12,2023-11-21,9,East,Home Decor,Net Banking,1,4344.47,0.13,3779.69,Retained,5,No
ORD1192,CUST325,2023-06-26,2023-07-03,7,North,Beauty,Net Banking,2,869.36,0.19,1408.36,Retained,3,Yes
ORD1193,CUST360,2023-06-27,2023-07-04,7,East,Electronics,Debit Card,4,2932.19,0.01,11611.47,Retained,5,No
ORD1194,CUST269,2023-12-20,2023-12-21,1,East,Beauty,Net Banking,4,4366.3,0.24,13273.55,Retained,3,No
ORD1195,CUST273,2023-12-22,2023-12-29,7,South,Clothing,Debit Card,1,2998.91,0.16,2519.08,Retained,4,No
ORD1196,CUST74,2023-06-04,2023-06-11,7,South,Sports,Credit Card,4,3646.47,0.08,13419.01,Retained,4,No
ORD1197,CUST429,2023-03-15,2023-03-19,4,West,Home Decor,COD,3,1985.81,0.02,5838.28,Retained,3,No
ORD1198,CUST310,2023-09-02,2023-09-09,7,North,Sports,Net Banking,3,643.76,0.05,1834.72,Retained,3,No
ORD1199,CUST492,2023-07-11,2023-07-19,8,East,Beauty,Debit Card,3,2397.92,0.27,5251.44,Retained,5,No
ORD1200,CUST254,2023-12-21,2023-12-24,3,East,Home Decor,UPI,3,2093.5,0.21,4961.6,Retained,5,Yes
ORD1201,CUST75,2023-01-08,2023-01-10,2,West,Beauty,Net Banking,3,4361.89,0.07,12169.67,Retained,3,No
ORD1202,CUST143,2023-10-04,2023-10-11,7,East,Clothing,Credit Card,4,1371.18,0.02,5375.03,Retained,4,Yes
ORD1203,CUST454,2023-11-02,2023-11-07,5,North,Electronics,Credit Card,1,4840.32,0.21,3823.85,Retained,2,No
ORD1204,CUST405,2023-08-19,2023-08-24,5,West,Home Decor,UPI,1,4799.06,0.17,3983.22,Retained,3,No
ORD1205,CUST316,2023-08-29,2023-09-03,5,North,Clothing,Debit Card,3,1388.63,0.12,3665.98,Churned,4,No
ORD1206,CUST454,2023-05-15,2023-05-22,7,West,Clothing,Net Banking,4,1870.65,0.11,6659.51,Retained,2,No
ORD1207,CUST21,2023-10-11,2023-10-20,9,West,Home Decor,Debit Card,2,4498.67,0.07,8367.53,Retained,5,No
ORD1208,CUST109,2023-08-20,2023-08-28,8,South,Beauty,Credit Card,2,4839.79,0.2,7743.66,Retained,4,No
ORD1209,CUST407,2023-02-12,2023-02-18,6,North,Clothing,Debit Card,4,2328.51,0.29,6612.97,Retained,5,No
ORD1210,CUST265,2023-02-13,2023-02-20,7,East,Sports,Credit Card,3,1740.79,0.05,4961.25,Retained,4,No
ORD1211,CUST240,2023-04-19,2023-04-28,9,East,Clothing,Debit Card,1,2725.25,0.18,2234.71,Retained,5,No
ORD1212,CUST328,2023-08-26,2023-09-01,6,North,Beauty,UPI,4,3501.29,0.13,12184.49,Retained,4,No
ORD1213,CUST371,2023-01-08,2023-01-09,1,East,Beauty,COD,2,1512.68,0.13,2632.06,Retained,4,No
ORD1214,CUST430,2023-10-17,2023-10-21,4,East,Sports,UPI,2,3735.07,0.08,6872.53,Retained,5,No
ORD1215,CUST212,2023-12-07,2023-12-15,8,North,Clothing,UPI,2,447.96,0.25,671.94,Retained,4,No
ORD1216,CUST219,2023-03-13,2023-03-20,7,West,Beauty,COD,3,436.61,0.15,1113.36,Retained,1,No
ORD1217,CUST259,2023-08-22,2023-08-25,3,North,Home Decor,COD,2,2054.18,0.16,3451.02,Retained,4,Yes
ORD1218,CUST211,2023-05-29,2023-06-01,3,West,Electronics,Net Banking,4,1896.67,0.09,6903.88,Retained,5,Yes
